rank_by_qubo_score,selected_leds,bitstring,qubo_score,qubo_energy,qaoa_qubo_energy,num_selected_leds,power_consumption_ratio,qaoa_count,qaoa_probability,coverage_rate,power_uniformity,snr_uniformity,snr_threshold_db,mean_snr_db,min_snr_db,max_snr_db,mean_received_power,min_received_power,max_received_power
2061,1-3-7-10-11,b_1010001001100000,0.14655396086491662,-0.14655396086491662,-0.14655396086491662,5,0.3125,1,0.0001220703125,0.8464,0.0,0.0,13.6,28.48828561799884,-300.0,33.15830399336428,8.628541126271985e-06,0.0,2.883147400981117e-05
2062,5-6-7-11-13,b_0000111000101000,0.1465539608649166,-0.1465539608649166,-0.1465539608649166,5,0.3125,1,0.0001220703125,0.8464,0.0,0.0,13.6,28.48828561799884,-300.0,33.15830399336428,8.628541126271985e-06,0.0,2.883147400981117e-05
2063,2-7-10-11-16,b_0100001001100001,0.1459922566887738,-0.1459922566887738,-0.1459922566887738,5,0.3125,1,0.0001220703125,0.8508,0.0,0.0,13.6,28.483829040806352,-300.0,33.2007244216435,8.628541126271985e-06,0.0,2.9683566891233585e-05
2064,1-5-6-11-14,b_1000110000100100,0.14590916814683175,-0.14590916814683175,-0.14590916814683175,5,0.3125,1,0.0001220703125,0.8032,0.0,0.0,13.6,28.475421736513553,-300.0,33.09380174581709,8.484565978999196e-06,0.0,2.7652104848123973e-05
2065,5-6-10,b_0000110001000000,0.13936560719944807,-0.13936560719944807,-0.13936560719944807,3,0.1875,1,0.0001220703125,0.6088,0.0,0.0,13.6,26.2309009622015,-300.0,33.07805630214565,5.286328080331927e-06,0.0,2.7383085988050277e-05
2066,7-11-12,b_0000001000110000,0.13936560719944807,-0.13936560719944807,-0.13936560719944807,3,0.1875,1,0.0001220703125,0.6088,0.0,0.0,13.6,26.2309009622015,-300.0,33.07805630214565,5.2863280803319275e-06,0.0,2.7383085988050273e-05
2067,10-11-14,b_0000000001100100,0.13936560719944807,-0.13936560719944807,-0.13936560719944807,3,0.1875,1,0.0001220703125,0.6088,0.0,0.0,13.6,26.2309009622015,-300.0,33.07805630214565,5.2863280803319275e-06,0.0,2.7383085988050273e-05
2068,4-7-10-12-13-14,b_0001001001011100,0.1377278222229289,-0.1377278222229289,-0.1377278222229289,6,0.375,1,0.0001220703125,0.8608,0.0,0.0,13.6,29.275548647069193,-300.0,33.09380174581709,1.0016677949071012e-05,0.0,2.7652104848123977e-05
2069,7-10-14-15,b_0000001001000110,0.13743405069103154,-0.13743405069103154,-0.13743405069103154,4,0.25,1,0.0001220703125,0.7544,0.0,0.0,13.6,27.466382516825874,-300.0,33.136464628368344,6.9524540089273765e-06,0.0,2.8417446224291745e-05
2070,2-5-8-9-10-13-16,b_0100100111001001,0.1353634441503867,-0.1353634441503867,-0.1353634441503867,7,0.4375,1,0.0001220703125,0.9776,0.0,0.0,13.6,29.861167861650173,-300.0,33.28108373625603,1.1538828730393671e-05,0.0,3.150025772444695e-05
2071,4-5-7-10-11-13,b_0001101001101000,0.12878490747273377,-0.12878490747273377,-0.12878490747273377,6,0.375,1,0.0001220703125,0.9084,0.0,0.0,13.6,29.275435545112593,-300.0,33.1786629426179,1.0160653096343803e-05,0.0,2.9232185929073414e-05
2072,2-9-10-11-13,b_0100000011101000,0.12716956939967178,-0.12716956939967178,-0.12716956939967178,5,0.3125,1,0.0001220703125,0.8248,0.0,0.0,13.6,28.42016210211137,-300.0,33.15927688406389,8.484565978999196e-06,0.0,2.8850291509453844e-05
2073,3-4-7-10-14,b_0011001001000100,0.12507840112895574,-0.12507840112895574,-0.12507840112895574,5,0.3125,1,0.0001220703125,0.7872,0.0,0.0,13.6,28.482237870653368,-300.0,33.09380174581709,8.484565978999196e-06,0.0,2.765210484812398e-05
2074,6-10-13-14-16,b_0000010001001101,0.12472375859648975,-0.12472375859648975,-0.12472375859648975,5,0.3125,1,0.0001220703125,0.7924,0.0,0.0,13.6,28.375948052980263,-300.0,33.15927688406389,8.350552020475564e-06,0.0,2.8850291509453847e-05
2075,6-8-11-14-15,b_0000010100100110,0.12248714224322435,-0.12248714224322435,-0.12248714224322435,5,0.3125,1,0.0001220703125,0.86,0.0,0.0,13.6,28.463837592712807,-300.0,33.17954372441113,8.618579937522824e-06,0.0,2.924985725881102e-05
2076,2-5-8-11-12-15,b_0100100100110010,0.12205958057984394,-0.12205958057984394,-0.12205958057984394,6,0.375,1,0.0001220703125,0.9068,0.0,0.0,13.6,29.261113465135956,-300.0,33.22696592788133,1.0140730718845483e-05,0.0,3.0245457867355717e-05
2077,5-7-10-11-13,b_0000101001101000,0.12029809505698816,-0.12029809505698816,-0.12029809505698816,5,0.3125,1,0.0001220703125,0.8408,0.0,0.0,13.6,28.48769246349322,-300.0,33.1786629426179,8.628541126271985e-06,0.0,2.9232185929073414e-05
2078,6-8-10-11-16,b_0000010101100001,0.12029809505698806,-0.12029809505698806,-0.12029809505698806,5,0.3125,1,0.0001220703125,0.8408,0.0,0.0,13.6,28.487692463493225,-300.0,33.1786629426179,8.628541126271985e-06,0.0,2.9232185929073414e-05
2079,4-5-6-8-10-13-15,b_0001110101001010,0.11806146566807905,-0.11806146566807905,-0.11806146566807905,7,0.4375,1,0.0001220703125,0.9612,0.0,0.0,13.6,29.965696604279294,-300.0,33.177441584672835,1.1682803877666462e-05,0.0,2.9207728492776503e-05
2080,1-3-6-9-10-12-16,b_1010010011010001,0.11806146566807904,-0.11806146566807904,-0.11806146566807904,7,0.4375,1,0.0001220703125,0.9612,0.0,0.0,13.6,29.965696604279294,-300.0,33.177441584672835,1.1682803877666462e-05,0.0,2.9207728492776506e-05
2081,5-6-11-12-15,b_0000110000110010,0.11438516556468678,-0.11438516556468678,-0.11438516556468678,5,0.3125,1,0.0001220703125,0.81,0.0,0.0,13.6,28.516327928272776,-300.0,33.17348544420233,8.618579937522824e-06,0.0,2.9128879849920812e-05
2082,1-2-8-10-13-14-15,b_1100000101001110,0.1092585352154113,-0.1092585352154113,-0.1092585352154113,7,0.4375,1,0.0001220703125,0.9688,0.0,0.0,13.6,29.87705393559223,-300.0,33.28108373625603,1.1538828730393671e-05,0.0,3.1500257724446954e-05
2083,2-4-6-7,b_0101011000000000,0.10624903730776067,-0.10624903730776067,-0.10624903730776067,4,0.25,1,0.0001220703125,0.6664,0.0,0.0,13.6,27.459118098493832,-300.0,33.13612031724244,6.818440050403746e-06,0.0,2.84110444499302e-05
